t;h;season
283.050000;180000;spring
285.550000;180000;spring
284.250000;180000;spring
287.050000;180000;spring
287.950000;180000;spring
286.550000;180000;spring
280.350000;210000;spring
281.050000;210000;spring
276.950000;210000;spring
281.550000;210000;spring
283.750000;210000;spring
283.350000;210000;spring
278.950000;000000;spring
278.950000;000000;spring
274.450000;000000;spring
280.350000;000000;spring
279.150000;000000;spring
281.550000;000000;spring
277.450000;030000;spring
276.450000;030000;spring
273.150000;030000;spring
278.050000;030000;spring
279.850000;030000;spring
279.850000;030000;spring
276.550000;060000;spring
276.750000;060000;spring
273.750000;060000;spring
277.950000;060000;spring
280.050000;060000;spring
279.350000;060000;spring
282.650000;090000;spring
286.350000;090000;spring
285.750000;090000;spring
286.050000;090000;spring
286.950000;090000;spring
286.650000;090000;spring
286.750000;120000;spring
289.750000;120000;spring
289.550000;120000;spring
289.850000;120000;spring
290.950000;120000;spring
290.650000;120000;spring
287.050000;150000;spring
288.850000;150000;spring
291.550000;150000;spring
290.850000;150000;spring
292.850000;150000;spring
292.750000;150000;spring
284.650000;180000;spring
285.650000;180000;spring
287.350000;180000;spring
286.950000;180000;spring
289.550000;180000;spring
290.950000;180000;spring
279.750000;210000;spring
281.550000;210000;spring
283.050000;210000;spring
283.250000;210000;spring
286.550000;210000;spring
285.650000;210000;spring
278.650000;000000;spring
279.450000;000000;spring
281.750000;000000;spring
280.750000;000000;spring
282.950000;000000;spring
284.050000;000000;spring
277.450000;030000;spring
278.850000;030000;spring
278.450000;030000;spring
279.950000;030000;spring
281.450000;030000;spring
282.350000;030000;spring
276.750000;060000;spring
278.550000;060000;spring
279.850000;060000;spring
280.650000;060000;spring
281.850000;060000;spring
282.050000;060000;spring
283.350000;090000;spring
284.750000;090000;spring
286.650000;090000;spring
283.850000;090000;spring
286.550000;090000;spring
286.550000;090000;spring
288.450000;120000;spring
288.750000;120000;spring
290.350000;120000;spring
287.350000;120000;spring
289.750000;120000;spring
290.050000;120000;spring
286.950000;150000;spring
287.350000;150000;spring
291.250000;150000;spring
289.550000;150000;spring
290.650000;150000;spring
291.350000;150000;spring
285.150000;180000;spring
285.650000;180000;spring
287.150000;180000;spring
287.050000;180000;spring
287.950000;180000;spring
289.150000;180000;spring
281.050000;210000;spring
282.250000;210000;spring
284.350000;210000;spring
283.750000;210000;spring
285.750000;210000;spring
285.550000;210000;spring
279.550000;000000;spring
280.350000;000000;spring
280.150000;000000;spring
280.450000;000000;spring
281.550000;000000;spring
283.150000;000000;spring
277.550000;030000;spring
278.350000;030000;spring
278.750000;030000;spring
278.850000;030000;spring
280.050000;030000;spring
280.650000;030000;spring
276.550000;060000;spring
277.550000;060000;spring
278.250000;060000;spring
277.250000;060000;spring
281.050000;060000;spring
280.650000;060000;spring
283.650000;090000;spring
285.750000;090000;spring
286.350000;090000;spring
286.050000;090000;spring
286.450000;090000;spring
285.850000;090000;spring
287.750000;120000;spring
288.450000;120000;spring
288.850000;120000;spring
289.850000;120000;spring
289.250000;120000;spring
290.550000;120000;spring
286.850000;150000;spring
289.250000;150000;spring
288.250000;150000;spring
290.750000;150000;spring
290.550000;150000;spring
290.950000;150000;spring
283.950000;180000;spring
285.850000;180000;spring
285.750000;180000;spring
287.150000;180000;spring
288.950000;180000;spring
289.250000;180000;spring
281.950000;210000;spring
282.550000;210000;spring
282.850000;210000;spring
282.050000;210000;spring
287.350000;210000;spring
285.250000;210000;spring
281.350000;000000;spring
280.650000;000000;spring
283.550000;000000;spring
281.350000;000000;spring
285.150000;000000;spring
283.050000;000000;spring
280.650000;030000;spring
280.850000;030000;spring
279.150000;030000;spring
279.250000;030000;spring
281.250000;030000;spring
282.750000;030000;spring
282.650000;060000;spring
281.150000;060000;spring
281.550000;060000;spring
280.150000;060000;spring
281.650000;060000;spring
280.050000;060000;spring
284.850000;090000;spring
284.850000;090000;spring
284.950000;090000;spring
283.450000;090000;spring
284.250000;090000;spring
284.450000;090000;spring
286.550000;120000;spring
286.450000;120000;spring
287.350000;120000;spring
285.650000;120000;spring
285.950000;120000;spring
287.850000;120000;spring
286.550000;150000;spring
286.750000;150000;spring
288.050000;150000;spring
287.550000;150000;spring
287.750000;150000;spring
289.650000;150000;spring
284.050000;180000;spring
284.950000;180000;spring
285.850000;180000;spring
286.550000;180000;spring
286.750000;180000;spring
286.950000;180000;spring
280.950000;210000;spring
279.050000;210000;spring
283.650000;210000;spring
281.050000;210000;spring
285.150000;210000;spring
283.850000;210000;spring
281.750000;000000;spring
277.850000;000000;spring
277.450000;000000;spring
277.750000;000000;spring
279.550000;000000;spring
281.250000;000000;spring
281.150000;030000;spring
278.550000;030000;spring
278.250000;030000;spring
276.750000;030000;spring
278.050000;030000;spring
279.350000;030000;spring
280.550000;060000;spring
279.050000;060000;spring
281.150000;060000;spring
275.550000;060000;spring
280.750000;060000;spring
278.550000;060000;spring
284.350000;090000;spring
284.550000;090000;spring
283.550000;090000;spring
284.750000;090000;spring
285.250000;090000;spring
286.150000;090000;spring
285.750000;120000;spring
285.750000;120000;spring
286.850000;120000;spring
287.150000;120000;spring
287.850000;120000;spring
289.350000;120000;spring
286.850000;150000;spring
286.650000;150000;spring
286.450000;150000;spring
288.450000;150000;spring
289.050000;150000;spring
290.950000;150000;spring
284.250000;180000;spring
284.350000;180000;spring
284.450000;180000;spring
285.350000;180000;spring
286.150000;180000;spring
288.750000;180000;spring
279.750000;210000;spring
279.950000;210000;spring
279.150000;210000;spring
280.250000;210000;spring
283.050000;210000;spring
283.750000;210000;spring
277.350000;000000;spring
278.050000;000000;spring
276.150000;000000;spring
278.950000;000000;spring
279.550000;000000;spring
281.450000;000000;spring
274.950000;030000;spring
277.350000;030000;spring
274.950000;030000;spring
277.550000;030000;spring
278.550000;030000;spring
278.250000;030000;spring
275.250000;060000;spring
277.650000;060000;spring
275.450000;060000;spring
277.650000;060000;spring
278.750000;060000;spring
277.850000;060000;spring
282.450000;090000;spring
283.150000;090000;spring
281.350000;090000;spring
282.450000;090000;spring
281.350000;090000;spring
283.150000;090000;spring
284.850000;120000;spring
285.050000;120000;spring
284.850000;120000;spring
285.850000;120000;spring
285.150000;120000;spring
286.050000;120000;spring
285.650000;150000;spring
286.350000;150000;spring
285.650000;150000;spring
287.650000;150000;spring
286.750000;150000;spring
287.850000;150000;spring
282.650000;180000;spring
283.950000;180000;spring
283.050000;180000;spring
285.650000;180000;spring
285.050000;180000;spring
286.050000;180000;spring
278.650000;210000;spring
279.950000;210000;spring
279.450000;210000;spring
279.350000;210000;spring
281.850000;210000;spring
280.350000;210000;spring
276.650000;000000;spring
276.950000;000000;spring
277.650000;000000;spring
277.850000;000000;spring
280.050000;000000;spring
277.950000;000000;spring
275.850000;030000;spring
275.950000;030000;spring
274.450000;030000;spring
275.950000;030000;spring
278.250000;030000;spring
277.150000;030000;spring
276.550000;060000;spring
276.750000;060000;spring
273.850000;060000;spring
276.450000;060000;spring
278.850000;060000;spring
276.850000;060000;spring
283.050000;090000;spring
283.950000;090000;spring
283.750000;090000;spring
284.650000;090000;spring
283.950000;090000;spring
284.050000;090000;spring
286.150000;120000;spring
287.050000;120000;spring
286.950000;120000;spring
287.550000;120000;spring
287.050000;120000;spring
288.250000;120000;spring
287.750000;150000;spring
289.450000;150000;spring
288.450000;150000;spring
289.450000;150000;spring
288.650000;150000;spring
289.950000;150000;spring
286.750000;180000;spring
285.950000;180000;spring
285.250000;180000;spring
287.950000;180000;spring
287.450000;180000;spring
287.550000;180000;spring
281.450000;210000;spring
279.950000;210000;spring
276.850000;210000;spring
280.850000;210000;spring
283.650000;210000;spring
280.850000;210000;spring
279.550000;000000;spring
278.650000;000000;spring
274.550000;000000;spring
277.250000;000000;spring
281.350000;000000;spring
279.350000;000000;spring
276.550000;030000;spring
276.250000;030000;spring
272.750000;030000;spring
275.450000;030000;spring
278.550000;030000;spring
277.350000;030000;spring
277.650000;060000;spring
278.350000;060000;spring
274.450000;060000;spring
275.550000;060000;spring
279.150000;060000;spring
278.850000;060000;spring
285.650000;090000;spring
284.950000;090000;spring
285.350000;090000;spring
286.750000;090000;spring
286.150000;090000;spring
286.850000;090000;spring
290.050000;120000;spring
290.450000;120000;spring
288.950000;120000;spring
292.350000;120000;spring
290.450000;120000;spring
290.650000;120000;spring
289.750000;150000;spring
292.450000;150000;spring
291.750000;150000;spring
294.250000;150000;spring
293.750000;150000;spring
293.150000;150000;spring
285.650000;180000;spring
287.950000;180000;spring
289.950000;180000;spring
290.950000;180000;spring
291.350000;180000;spring
292.650000;180000;spring
283.350000;210000;spring
284.050000;210000;spring
282.250000;210000;spring
286.350000;210000;spring
289.050000;210000;spring
285.350000;210000;spring
283.650000;000000;spring
283.150000;000000;spring
284.650000;000000;spring
284.250000;000000;spring
286.650000;000000;spring
284.650000;000000;spring
282.050000;030000;spring
283.450000;030000;spring
283.150000;030000;spring
283.250000;030000;spring
284.750000;030000;spring
283.750000;030000;spring
280.250000;060000;spring
282.350000;060000;spring
281.850000;060000;spring
283.350000;060000;spring
283.950000;060000;spring
282.950000;060000;spring
284.150000;090000;spring
285.350000;090000;spring
285.350000;090000;spring
284.750000;090000;spring
286.250000;090000;spring
285.550000;090000;spring
284.450000;120000;spring
285.950000;120000;spring
285.350000;120000;spring
287.750000;120000;spring
286.350000;120000;spring
288.550000;120000;spring
284.850000;150000;spring
284.950000;150000;spring
288.750000;150000;spring
285.750000;150000;spring
288.750000;150000;spring
282.650000;180000;spring
283.050000;180000;spring
283.550000;180000;spring
284.350000;180000;spring
284.550000;180000;spring
286.750000;180000;spring
279.050000;210000;spring
279.150000;210000;spring
280.550000;210000;spring
280.050000;210000;spring
281.650000;210000;spring
281.750000;210000;spring
279.150000;000000;spring
278.150000;000000;spring
277.150000;000000;spring
277.450000;000000;spring
279.350000;000000;spring
279.650000;000000;spring
279.050000;030000;spring
277.250000;030000;spring
277.450000;030000;spring
276.250000;030000;spring
278.050000;030000;spring
277.850000;030000;spring
278.750000;060000;spring
278.050000;060000;spring
277.550000;060000;spring
277.750000;060000;spring
278.550000;060000;spring
277.350000;060000;spring
281.550000;090000;spring
280.550000;090000;spring
284.550000;090000;spring
282.450000;090000;spring
282.550000;090000;spring
282.650000;090000;spring
285.650000;120000;spring
283.750000;120000;spring
285.350000;120000;spring
284.350000;120000;spring
284.950000;120000;spring
285.050000;120000;spring
287.050000;150000;spring
285.750000;150000;spring
285.050000;150000;spring
284.950000;150000;spring
285.150000;150000;spring
285.650000;180000;spring
284.550000;180000;spring
284.750000;180000;spring
284.150000;180000;spring
284.050000;180000;spring
284.650000;180000;spring
282.450000;210000;spring
282.950000;210000;spring
282.850000;210000;spring
281.250000;210000;spring
284.250000;210000;spring
280.850000;210000;spring
284.550000;000000;spring
282.150000;000000;spring
282.250000;000000;spring
279.950000;000000;spring
282.750000;000000;spring
279.850000;000000;spring
283.950000;030000;spring
282.050000;030000;spring
281.350000;030000;spring
279.950000;030000;spring
282.250000;030000;spring
278.150000;030000;spring
283.750000;060000;spring
282.050000;060000;spring
281.750000;060000;spring
280.050000;060000;spring
281.750000;060000;spring
278.650000;060000;spring
284.550000;090000;spring
281.550000;090000;spring
285.550000;090000;spring
282.350000;090000;spring
284.650000;090000;spring
284.750000;090000;spring
285.850000;120000;spring
285.150000;120000;spring
289.050000;120000;spring
284.050000;120000;spring
289.250000;120000;spring
288.150000;120000;spring
289.150000;150000;spring
288.050000;150000;spring
291.150000;150000;spring
286.450000;150000;spring
290.050000;150000;spring
289.150000;150000;spring
287.550000;180000;spring
286.550000;180000;spring
288.650000;180000;spring
285.650000;180000;spring
288.450000;180000;spring
287.750000;180000;spring
283.150000;210000;spring
283.250000;210000;spring
279.550000;210000;spring
280.050000;210000;spring
285.250000;210000;spring
283.950000;210000;spring
281.350000;000000;spring
281.950000;000000;spring
277.650000;000000;spring
277.950000;000000;spring
283.450000;000000;spring
281.850000;000000;spring
280.450000;030000;spring
281.350000;030000;spring
280.350000;030000;spring
278.350000;030000;spring
283.350000;030000;spring
282.050000;030000;spring
280.150000;060000;spring
281.650000;060000;spring
283.750000;060000;spring
279.050000;060000;spring
283.750000;060000;spring
282.050000;060000;spring
286.850000;090000;spring
286.350000;090000;spring
286.450000;090000;spring
284.150000;090000;spring
285.350000;090000;spring
285.650000;090000;spring
288.250000;120000;spring
287.750000;120000;spring
288.350000;120000;spring
285.450000;120000;spring
287.350000;120000;spring
287.350000;120000;spring
288.050000;150000;spring
287.350000;150000;spring
289.750000;150000;spring
285.150000;150000;spring
288.850000;150000;spring
286.850000;150000;spring
285.250000;180000;spring
285.750000;180000;spring
288.050000;180000;spring
285.650000;180000;spring
286.450000;180000;spring
286.150000;180000;spring
284.250000;210000;spring
283.350000;210000;spring
286.050000;210000;spring
283.750000;210000;spring
283.450000;210000;spring
283.250000;210000;spring
283.050000;000000;spring
281.350000;000000;spring
284.650000;000000;spring
282.250000;000000;spring
284.050000;000000;spring
281.650000;000000;spring
281.850000;030000;spring
281.650000;030000;spring
282.250000;030000;spring
281.650000;030000;spring
283.850000;030000;spring
279.150000;030000;spring
282.150000;060000;spring
281.850000;060000;spring
283.050000;060000;spring
281.150000;060000;spring
284.150000;060000;spring
281.350000;060000;spring
287.550000;090000;spring
287.550000;090000;spring
286.750000;090000;spring
288.450000;090000;spring
288.250000;090000;spring
289.350000;120000;spring
290.850000;120000;spring
289.550000;120000;spring
288.450000;120000;spring
291.250000;120000;spring
290.550000;120000;spring
288.750000;150000;spring
284.850000;150000;spring
291.450000;150000;spring
287.750000;150000;spring
284.250000;150000;spring
290.350000;150000;spring
285.650000;180000;spring
284.450000;180000;spring
289.250000;180000;spring
287.550000;180000;spring
285.750000;180000;spring
289.150000;180000;spring
283.850000;210000;spring
282.950000;210000;spring
282.350000;210000;spring
284.950000;210000;spring
283.850000;210000;spring
285.050000;210000;spring
281.050000;000000;spring
281.550000;000000;spring
279.250000;000000;spring
281.850000;000000;spring
282.450000;000000;spring
283.350000;000000;spring
280.150000;030000;spring
279.750000;030000;spring
277.150000;030000;spring
278.050000;030000;spring
280.950000;030000;spring
280.250000;030000;spring
279.650000;060000;spring
280.450000;060000;spring
279.950000;060000;spring
278.950000;060000;spring
281.850000;060000;spring
280.750000;060000;spring
287.650000;090000;spring
286.250000;090000;spring
287.750000;090000;spring
286.250000;090000;spring
287.350000;090000;spring
288.050000;090000;spring
289.350000;120000;spring
290.050000;120000;spring
292.850000;120000;spring
287.750000;120000;spring
291.250000;120000;spring
290.950000;120000;spring
289.650000;150000;spring
289.750000;150000;spring
293.750000;150000;spring
287.050000;150000;spring
292.650000;150000;spring
290.650000;150000;spring
286.850000;180000;spring
285.850000;180000;spring
289.550000;180000;spring
286.450000;180000;spring
289.750000;180000;spring
288.450000;180000;spring
283.850000;210000;spring
284.050000;210000;spring
283.850000;210000;spring
284.350000;210000;spring
287.850000;210000;spring
285.050000;210000;spring
282.650000;000000;spring
283.150000;000000;spring
284.050000;000000;spring
283.250000;000000;spring
285.850000;000000;spring
284.250000;000000;spring
282.650000;030000;spring
283.250000;030000;spring
283.550000;030000;spring
282.150000;030000;spring
285.850000;030000;spring
283.850000;030000;spring
283.250000;060000;spring
283.050000;060000;spring
285.550000;060000;spring
281.750000;060000;spring
285.150000;060000;spring
283.150000;060000;spring
288.150000;090000;spring
287.850000;090000;spring
289.950000;090000;spring
284.350000;090000;spring
287.150000;090000;spring
284.550000;090000;spring
289.850000;120000;spring
290.250000;120000;spring
292.150000;120000;spring
289.650000;120000;spring
290.850000;120000;spring
290.050000;120000;spring
290.950000;150000;spring
289.650000;150000;spring
294.350000;150000;spring
290.350000;150000;spring
291.750000;150000;spring
289.550000;150000;spring
289.050000;180000;spring
288.650000;180000;spring
291.150000;180000;spring
284.050000;180000;spring
290.250000;180000;spring
288.250000;180000;spring
285.250000;210000;spring
285.750000;210000;spring
287.350000;210000;spring
283.750000;210000;spring
287.450000;210000;spring
285.750000;210000;spring
284.450000;000000;spring
285.850000;000000;spring
285.850000;000000;spring
283.550000;000000;spring
287.250000;000000;spring
284.550000;000000;spring
284.050000;030000;spring
284.550000;030000;spring
282.950000;030000;spring
283.450000;030000;spring
286.150000;030000;spring
283.650000;030000;spring
284.950000;060000;spring
283.950000;060000;spring
283.550000;060000;spring
283.450000;060000;spring
286.050000;060000;spring
283.550000;060000;spring
286.050000;090000;spring
284.250000;090000;spring
287.850000;090000;spring
284.150000;090000;spring
287.350000;090000;spring
284.450000;090000;spring
288.250000;120000;spring
284.850000;120000;spring
290.150000;120000;spring
285.750000;120000;spring
286.750000;120000;spring
286.550000;120000;spring
286.650000;150000;spring
284.350000;150000;spring
289.050000;150000;spring
287.150000;150000;spring
288.650000;150000;spring
287.650000;150000;spring
284.250000;180000;spring
284.650000;180000;spring
287.950000;180000;spring
286.750000;180000;spring
287.050000;180000;spring
287.750000;180000;spring
281.650000;210000;spring
281.150000;210000;spring
284.850000;210000;spring
283.450000;210000;spring
285.750000;210000;spring
284.750000;210000;spring
281.450000;000000;spring
282.050000;000000;spring
277.950000;000000;spring
280.850000;000000;spring
283.750000;000000;spring
282.450000;000000;spring
281.150000;030000;spring
281.250000;030000;spring
277.250000;030000;spring
281.350000;030000;spring
281.750000;030000;spring
281.350000;030000;spring
282.350000;060000;spring
280.850000;060000;spring
280.950000;060000;spring
280.950000;060000;spring
282.250000;060000;spring
282.250000;060000;spring
282.350000;090000;spring
281.650000;090000;spring
287.250000;090000;spring
282.850000;090000;spring
282.650000;090000;spring
283.850000;090000;spring
284.150000;120000;spring
284.550000;120000;spring
288.350000;120000;spring
288.050000;120000;spring
283.650000;120000;spring
288.450000;120000;spring
285.850000;150000;spring
287.750000;150000;spring
285.350000;150000;spring
286.850000;150000;spring
285.350000;150000;spring
289.750000;150000;spring
282.950000;180000;spring
286.450000;180000;spring
284.050000;180000;spring
286.350000;180000;spring
284.750000;180000;spring
286.850000;180000;spring
280.650000;210000;spring
281.550000;210000;spring
282.950000;210000;spring
282.550000;210000;spring
282.650000;210000;spring
283.450000;210000;spring
280.950000;000000;spring
280.350000;000000;spring
281.850000;000000;spring
281.950000;000000;spring
280.750000;000000;spring
282.850000;000000;spring
280.250000;030000;spring
280.750000;030000;spring
279.350000;030000;spring
282.250000;030000;spring
280.450000;030000;spring
282.850000;030000;spring
281.250000;060000;spring
281.650000;060000;spring
280.650000;060000;spring
281.450000;060000;spring
282.050000;060000;spring
282.750000;060000;spring
285.050000;090000;spring
282.650000;090000;spring
283.050000;090000;spring
284.150000;090000;spring
284.650000;090000;spring
283.650000;090000;spring
285.450000;120000;spring
285.450000;120000;spring
287.750000;120000;spring
284.850000;120000;spring
287.250000;120000;spring
283.450000;120000;spring
287.650000;150000;spring
282.150000;150000;spring
286.950000;150000;spring
282.950000;150000;spring
286.850000;150000;spring
283.450000;150000;spring
285.350000;180000;spring
284.550000;180000;spring
285.850000;180000;spring
283.150000;180000;spring
284.250000;180000;spring
282.650000;180000;spring
283.650000;210000;spring
282.250000;210000;spring
282.150000;210000;spring
282.250000;210000;spring
283.050000;210000;spring
282.850000;210000;spring
281.350000;000000;spring
281.350000;000000;spring
282.950000;000000;spring
282.250000;000000;spring
281.650000;000000;spring
282.650000;000000;spring
279.850000;030000;spring
281.150000;030000;spring
280.250000;030000;spring
281.750000;030000;spring
281.150000;030000;spring
282.450000;030000;spring
280.150000;060000;spring
281.550000;060000;spring
282.050000;060000;spring
282.050000;060000;spring
282.250000;060000;spring
282.550000;060000;spring
282.950000;090000;spring
283.750000;090000;spring
284.850000;090000;spring
284.050000;090000;spring
283.650000;090000;spring
284.750000;090000;spring
286.350000;120000;spring
285.350000;120000;spring
288.450000;120000;spring
285.850000;120000;spring
286.550000;120000;spring
283.050000;120000;spring
287.650000;150000;spring
286.950000;150000;spring
289.250000;150000;spring
286.950000;150000;spring
288.050000;150000;spring
287.250000;150000;spring
287.150000;180000;spring
285.350000;180000;spring
287.950000;180000;spring
284.750000;180000;spring
286.950000;180000;spring
286.950000;180000;spring
284.050000;210000;spring
281.350000;210000;spring
279.350000;210000;spring
281.650000;210000;spring
284.750000;210000;spring
282.750000;210000;spring
281.550000;000000;spring
279.850000;000000;spring
278.150000;000000;spring
279.950000;000000;spring
282.450000;000000;spring
282.150000;000000;spring
279.750000;030000;spring
280.750000;030000;spring
279.850000;030000;spring
280.150000;030000;spring
280.450000;030000;spring
282.450000;030000;spring
279.850000;060000;spring
280.650000;060000;spring
280.450000;060000;spring
280.350000;060000;spring
280.850000;060000;spring
282.850000;060000;spring
284.750000;090000;spring
282.050000;090000;spring
286.750000;090000;spring
282.850000;090000;spring
282.350000;090000;spring
283.950000;090000;spring
287.950000;120000;spring
287.550000;120000;spring
288.550000;120000;spring
283.750000;120000;spring
286.650000;120000;spring
283.750000;120000;spring
290.050000;150000;spring
286.050000;150000;spring
289.650000;150000;spring
284.350000;150000;spring
285.150000;150000;spring
283.850000;150000;spring
284.350000;180000;spring
283.650000;180000;spring
287.550000;180000;spring
282.750000;180000;spring
283.750000;180000;spring
284.250000;180000;spring
283.250000;210000;spring
282.650000;210000;spring
284.950000;210000;spring
281.950000;210000;spring
283.250000;210000;spring
282.950000;210000;spring
281.450000;000000;spring
282.550000;000000;spring
283.150000;000000;spring
282.250000;000000;spring
283.850000;000000;spring
281.950000;000000;spring
280.650000;030000;spring
282.750000;030000;spring
280.550000;030000;spring
281.250000;030000;spring
282.650000;030000;spring
281.350000;030000;spring
281.450000;060000;spring
283.250000;060000;spring
281.550000;060000;spring
282.450000;060000;spring
283.250000;060000;spring
281.850000;060000;spring
283.250000;090000;spring
285.050000;090000;spring
289.150000;090000;spring
285.350000;090000;spring
287.750000;090000;spring
282.950000;090000;spring
285.150000;120000;spring
287.750000;120000;spring
292.350000;120000;spring
288.150000;120000;spring
290.350000;120000;spring
286.750000;120000;spring
287.350000;150000;spring
289.250000;150000;spring
291.750000;150000;spring
289.550000;150000;spring
289.750000;150000;spring
288.850000;150000;spring
283.950000;180000;spring
287.550000;180000;spring
289.250000;180000;spring
288.750000;180000;spring
287.750000;180000;spring
288.450000;180000;spring
282.250000;210000;spring
284.350000;210000;spring
284.050000;210000;spring
282.350000;210000;spring
286.350000;210000;spring
284.150000;210000;spring
280.650000;000000;spring
283.550000;000000;spring
283.550000;000000;spring
281.950000;000000;spring
284.550000;000000;spring
283.350000;000000;spring
281.350000;030000;spring
281.350000;030000;spring
284.450000;030000;spring
283.750000;030000;spring
282.550000;030000;spring
283.450000;030000;spring
283.250000;060000;spring
282.550000;060000;spring
284.250000;060000;spring
283.950000;060000;spring
283.350000;060000;spring
284.250000;060000;spring
287.350000;090000;spring
284.950000;090000;spring
289.150000;090000;spring
286.250000;090000;spring
287.550000;090000;spring
285.450000;090000;spring
285.850000;120000;spring
286.150000;120000;spring
291.450000;120000;spring
287.450000;120000;spring
285.350000;120000;spring
288.250000;120000;spring
285.750000;150000;spring
285.050000;150000;spring
286.650000;150000;spring
284.050000;150000;spring
287.650000;150000;spring
284.950000;150000;spring
284.850000;180000;spring
284.850000;180000;spring
285.550000;180000;spring
285.150000;180000;spring
284.550000;180000;spring
284.050000;180000;spring
283.850000;210000;spring
283.050000;210000;spring
283.250000;210000;spring
283.550000;210000;spring
284.050000;210000;spring
283.250000;210000;spring
283.450000;000000;spring
281.750000;000000;spring
283.350000;000000;spring
282.550000;000000;spring
283.750000;000000;spring
283.250000;000000;spring
283.450000;030000;spring
282.450000;030000;spring
283.750000;030000;spring
283.150000;030000;spring
283.250000;030000;spring
283.150000;030000;spring
283.850000;060000;spring
283.550000;060000;spring
284.650000;060000;spring
284.250000;060000;spring
283.750000;060000;spring
283.650000;060000;spring
284.450000;090000;spring
284.250000;090000;spring
286.350000;090000;spring
285.850000;090000;spring
285.150000;090000;spring
286.250000;090000;spring
286.850000;120000;spring
284.750000;120000;spring
288.850000;120000;spring
285.950000;120000;spring
288.450000;120000;spring
288.250000;120000;spring
285.350000;150000;spring
285.850000;150000;spring
289.350000;150000;spring
284.950000;150000;spring
288.450000;150000;spring
288.150000;150000;spring
283.650000;180000;spring
283.750000;180000;spring
286.150000;180000;spring
285.150000;180000;spring
286.450000;180000;spring
286.350000;180000;spring
279.850000;210000;spring
280.750000;210000;spring
283.650000;210000;spring
282.750000;210000;spring
283.950000;210000;spring
284.050000;210000;spring
276.950000;000000;spring
278.650000;000000;spring
280.150000;000000;spring
281.050000;000000;spring
281.750000;000000;spring
281.950000;000000;spring
277.350000;030000;spring
277.950000;030000;spring
279.850000;030000;spring
278.050000;030000;spring
280.050000;030000;spring
280.550000;030000;spring
279.650000;060000;spring
279.350000;060000;spring
280.550000;060000;spring
279.550000;060000;spring
279.750000;060000;spring
280.050000;060000;spring
284.250000;090000;spring
283.950000;090000;spring
284.450000;090000;spring
283.250000;090000;spring
283.850000;090000;spring
284.450000;090000;spring
284.750000;120000;spring
285.550000;120000;spring
285.650000;120000;spring
285.750000;120000;spring
286.550000;120000;spring
286.650000;120000;spring
285.450000;150000;spring
286.650000;150000;spring
287.250000;150000;spring
286.850000;150000;spring
287.650000;150000;spring
286.650000;150000;spring
284.150000;180000;spring
284.650000;180000;spring
285.750000;180000;spring
284.950000;180000;spring
286.450000;180000;spring
285.150000;180000;spring
278.850000;210000;spring
280.450000;210000;spring
281.050000;210000;spring
280.750000;210000;spring
282.550000;210000;spring
281.850000;210000;spring
278.350000;000000;spring
278.850000;000000;spring
276.950000;000000;spring
278.150000;000000;spring
280.250000;000000;spring
279.550000;000000;spring
275.150000;030000;spring
277.050000;030000;spring
275.250000;030000;spring
276.750000;030000;spring
278.850000;030000;spring
278.250000;030000;spring
277.450000;060000;spring
278.850000;060000;spring
277.750000;060000;spring
279.050000;060000;spring
280.550000;060000;spring
279.350000;060000;spring
284.550000;090000;spring
285.950000;090000;spring
285.250000;090000;spring
285.150000;090000;spring
285.650000;090000;spring
284.750000;090000;spring
286.350000;120000;spring
287.650000;120000;spring
288.450000;120000;spring
287.450000;120000;spring
288.850000;120000;spring
288.550000;120000;spring
287.350000;150000;spring
288.550000;150000;spring
289.150000;150000;spring
289.250000;150000;spring
289.950000;150000;spring
289.550000;150000;spring
285.250000;180000;spring
287.350000;180000;spring
287.750000;180000;spring
288.650000;180000;spring
288.550000;180000;spring
288.350000;180000;spring
279.950000;210000;spring
282.550000;210000;spring
280.350000;210000;spring
281.150000;210000;spring
284.050000;210000;spring
282.650000;210000;spring
279.650000;000000;spring
278.950000;000000;spring
276.850000;000000;spring
279.150000;000000;spring
280.550000;000000;spring
279.050000;000000;spring
278.350000;030000;spring
278.150000;030000;spring
274.050000;030000;spring
277.350000;030000;spring
277.850000;030000;spring
278.450000;030000;spring
280.050000;060000;spring
281.550000;060000;spring
278.150000;060000;spring
279.950000;060000;spring
282.350000;060000;spring
280.350000;060000;spring
287.750000;090000;spring
288.750000;090000;spring
288.750000;090000;spring
288.850000;090000;spring
289.450000;090000;spring
289.350000;090000;spring
291.650000;120000;spring
292.250000;120000;spring
292.150000;120000;spring
292.150000;120000;spring
292.950000;120000;spring
293.250000;120000;spring
293.450000;150000;spring
293.750000;150000;spring
294.050000;150000;spring
293.550000;150000;spring
294.850000;150000;spring
294.850000;150000;spring
291.850000;180000;spring
290.650000;180000;spring
291.050000;180000;spring
292.650000;180000;spring
293.350000;180000;spring
293.050000;180000;spring
287.650000;210000;spring
286.050000;210000;spring
282.150000;210000;spring
288.450000;210000;spring
289.450000;210000;spring
288.550000;210000;spring
286.650000;000000;spring
285.950000;000000;spring
283.150000;000000;spring
286.350000;000000;spring
287.350000;000000;spring
287.850000;000000;spring
286.050000;030000;spring
284.750000;030000;spring
282.550000;030000;spring
285.350000;030000;spring
286.050000;030000;spring
286.150000;030000;spring
285.750000;060000;spring
285.050000;060000;spring
287.250000;060000;spring
